W.E.B. Du Bois,webdubois,"scholar, activist",,,,,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country,works published,key encounters,concepts/ideologies engaged,key sites of education/engagement
"Tuskegee, Alabama, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-02,"Lewis, Biography of a Race 243","Spent two days visiting Tuskegee University & Booker T. Washington, contemplating job there",,,tuskegee_alabama_usa,Tuskegee,Alabama,US,,,,
"Atlanta, Georgia, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",Returned to Atlanta University deciding not to take Tuskeegee position,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Washington, D.C., USA",1900-03,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",Attended American Negro Academy meeting,,,washington_dc._usa,Washington,District of Columbia,US,,,,
"Atlanta, Georgia, USA",1900-03,,"Lewis, Biography of a Race 243",,1900-03,"Lewis, Biography of a Race 243",Returned to Atlanta University to continue work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Savannah, Georgia, USA",1900-02-20,,"Lewis, Biography of a Race 243",,,,Attended meeting of Paris Exposition commissioners,,,savannah_georgia_usa,Savannah ,Georgia,US,,,,
"Atlanta, Georgia, USA",1900-02,,"Lewis, Biography of a Race 243",,1900-06,"Lewis, Biography of a Race 249",Returned to Atlanta University to continue work,,,atlanta_georgia_usa,Atlanta ,Georgia,US,,,,
"New York, New York, USA",1900-06,,"Lewis, Biography of a Race 249",,1900-06,"Lewis, Biography of a Race 249",Left for New York en route to Europe,,,new_york_new_york_usa,New York,New York,US,,,,
"Paris, France",1900-06,,"Lewis, Biography of a Race 249",,1900-07,"Lewis, Biography of a Race 249",Traveled to Europe for Paris Exposition for two months,,,paris_france,Paris,,France,,,,
"London, England",1900-07-23,,"Lewis, Biography of a Race 249",,1900-07-25,"Lewis, Biography of a Race 249","Attended First Pan-African Congress; do not have exact dates for London arrival/departure, just for the PAC itself",,,london_england,London,,England,,,,
"Atlanta, Georgia, USA",1900-08,,"Lewis, Biography of a Race 257",,1901-02,"Lewis, Biography of a Race 249",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Tuskegee, Alabama, USA",1901-02,,"Lewis, Biography of a Race 249",,1901-02,"Lewis, Biography of a Race 249",Attended two-day Tuskegee Conference,,,tuskegee_alabama_usa,Tuskegee,Alabama,US,,,,
"Atlanta, Georgia, USA",1901-02,,"Lewis, Biography of a Race 249",,1902-12,"Lewis, Biography of a Race 276",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"St. Paul, Minnesota, USA",,1902,"Lewis, Biography of a Race 299",,,,Meeting of Afro-American Council,,,st_paul_minnesota_usa,St. Paul,Minnesota,US,,,,
"New York, New York, USA",1902-12,,"Lewis, Biography of a Race 276",,1902-12,"Lewis, Biography of a Race 276",Met with Booker T. Washington ,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",1902-12,,"Lewis, Biography of a Race 276",,1903-01,"Lewis, Biography of a Race 276",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1903-01,,"Lewis, Biography of a Race 276",,1903-01,"Lewis, Biography of a Race 276",Attended the 1903 interracial conference,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",1903-01,,"Lewis, Biography of a Race 276",,1903-06,"Lewis, Biography of a Race 276",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Tuskegee, Alabama, USA",1903-06,,"Lewis, Biography of a Race 299",,1903-07,"Lewis, Biography of a Race 299",Lectured at Tuskegee Summer Session,,,tuskegee_alabama_usa,Tuskegee,Alabama,US,,,,
"Boston, Massachusetts, USA",1903-08,,"Lewis, Biography of a Race 305",,1903-08,"Lewis, Biography of a Race 276","Arrived several days after the ""Boston Riot"" on July 30,1903",,,boston_massachusetts_usa,Boston,Massachusetts,US,,,,
"Bar Harbor, Maine, USA",1903-08,,"Lewis, Biography of a Race 276",,1903-08,"Lewis, Biography of a Race 276",Lectured on Atlanta University Studies,,,bar_harbor_maine_usa,Bar Harbor,Maine,US,,,,
"Atlanta, Georgia, USA",1903-08,,"Lewis, Biography of a Race 276",,,,Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1904-01,,"Lewis, Biography of a Race 305",,1904-01,"Lewis, Biography of a Race 305","Attended conference of black leaders (January 6-8, 1904)",,,new_york_new_york_usa,New York,New York,US,,,,
"Boston, Massachusetts, USA",1904-01,,"Lewis, Biography of a Race 356",,1904-01,"Lewis, Biography of a Race 356",Went to Boston to fundraise for Atlanta University,,,boston_massachusetts_usa,Boston,Massachusetts,US,,,,
"Atlanta, Georgia, USA",1904-01,,"Lewis, Biography of a Race 310",,1904-07,"Lewis, Biography of a Race 310",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1904-07,,"Lewis, Biography of a Race 310",,1904-07,"Lewis, Biography of a Race 310",Attended Committee of Twelve meeting before resigning,,,new_york_new_york_usa,New York,New York,US,,,,
"Atlanta, Georgia, USA",1904-07,,"Lewis, Biography of a Race 310",,1904-10,"Lewis, Biography of a Race 319",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Des Moines, Iowa, USA",,1904-10-18,"Lewis, Biography of a Race 319",,,,"Spoke on October 18, 1904 to American Missionary Association",,,des_moines_iowa_usa,Des Moines,Iowa,US,,,,
"Atlanta, Georgia, USA",1904-10,,"Lewis, Biography of a Race 319",,1905-07,"Lewis, Biography of a Race 319",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Fort Erie, Canada",1905-07,,"Lewis, Biography of a Race 319",,1905-07,"Lewis, Biography of a Race 319",Founded Niagara Movement,,,fort_erie_canada,Fort Erie,Ontario,Canada,,,,
"Atlanta, Georgia, USA",1905-07,,"Lewis, Biography of a Race 319",,1906-08,"Lewis, Biography of a Race 330",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Hampton, Virginia, USA",,1906-07-30,"Lewis, Biography of a Race 352",,,,Addressed Hampton Institute ,,,hampton_virginia_usa,Hampton,Virginia,US,,,,
"Harper's Ferry, West Virginia, USA",1906-08-15,,"Lewis, Biography of a Race 330",,1906-08,"Lewis, Biography of a Race 330",Second Niagara Movement meeting,,,harper's_ferry_west_virginia_usa,Harper's Ferry,West Virginia,US,,,,
"Lowndes County, Alabama, USA",1906-08,,"Lewis, Biography of a Race 336",,1906-09,"Lewis, Biography of a Race 336","Research for Census Bureau, late August-late September (was there when he learned of Atlanta Race Riot, September 22-24)",,,lowndes_county_alabama_usa,Lowndes County,Alabama,US,,,,
"Atlanta, Georgia, USA",1906-09,,"Lewis, Biography of a Race 336",,1906-11,"Lewis, Biography of a Race 356",Rushed to Atlanta upon hearing news of riot,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Lowndes County, Alabama, USA",1906-11,,"Lewis, Biography of a Race 356",,1906-11,"Lewis, Biography of a Race 356",Shuttled back and forth between Lowndes County and Atlanta in November 1906,,,lowndes_county_alabama_usa,Lowndes County,Alabama,US,,,,
"Atlanta, Georgia, USA",1906-11,,"Lewis, Biography of a Race 336",,1906-11,"Lewis, Biography of a Race 356",Shuttled back and forth between Lowndes County and Atlanta in November 1907,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"New York, New York, USA",1907-01,,"Lewis, Biography of a Race 369",,1907-02,"Lewis, Biography of a Race 369",Fundraising tour for Atlanta University with Northern audiences,,,new_york_new_york_usa,New York,New York,US,,,,
"Chicago, Illinois, USA",1907-02,,"Lewis, Biography of a Race 339",,1907-02,"Lewis, Biography of a Race 369",Visited Jane Adams' Hull House ,,,chicago_illinois_usa,Chicago,Illinois,US,,,,
"Atlanta, Georgia, USA",1907-02,,"Lewis, Biography of a Race 369",,1907-04,"Lewis, Biography of a Race 356",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Washington, D.C., USA",1907-04,,"Lewis, Biography of a Race 356",,1907-04,"Lewis, Biography of a Race 356",Spent three weeks in Washington trying to work with Census Bureau,,,washington_dc._usa,Washington,District of Columbia,US,,,,
"Atlanta, Georgia, USA",1907-04,,"Lewis, Biography of a Race 356",,1907-04,"Lewis, Biography of a Race 356",Returned to Atlanta for work,,,atlanta_georgia_usa,Atlanta,Georgia,US,,,,
"Montreal, Canada",1907-06,,"Lewis, Biography of a Race 371",,1907-06-20,"Lewis, Biography of a Race 371",Traveled via Montreal to Europe,,,montreal_canada,Montreal,,Canada,,,,
"Glasgow, Scotland",,1907-06-30,"Lewis, Biography of a Race 371",,1907-06-30,"Lewis, Biography of a Race 371",Month-long trip to UK & France,,,glasgow_scotland,Glasgow,,Scotland,,,,
"Lake District, England",1907-07,,"Lewis, Biography of a Race 371",,1907-08,"Lewis, Biography of a Race 371",Month-long trip to UK & France,,,lake_district_england,Lake District,,England,,,,
"London, England",1907-08,,"Lewis, Biography of a Race 371",,1907-08,"Lewis, Biography of a Race 371",Month-long trip to UK & France,,,london_england,London,,England,,,,
"Paris, France",1907-08,,"Lewis, Biography of a Race 371",,1907-08,"Lewis, Biography of a Race 339",Month-long trip to UK & France,,,paris_france,Paris,,France,,,,
