City,Region,Country,PlaceName,PlaceID,Lat,Long
Barvikha,,Russia,"Barvikha, Russia",barvikha_russia,55.7409976,37.283156
Sydney,,Australia,"Sydney, Australia",sydney_australia,-33.8688197,151.2092955
Beijing,,China,"Beijing, China",beijing_china,39.9041999,116.4073963
Bujumbura,,Burundi,"Bujumbura, Burundi",bujumbura_burundi,-3.361378,29.3598782
Lubumbashi,,Democratic Republic of the Congo,"Lubumbashi, Democratic Republic of the Congo",lubumbashi_democratic_republic_of_the_congo,-11.6876026,27.5026174
Kinshasa,,Democratic Republic of the Congo,"Kinshasa, Democratic Republic of the Congo",kinshasa_democratic_republic_of_the_congo,-4.4419311,15.2662931
Brazzaville,,Republic of Congo,"Brazzaville, Republic of Congo",brazzaville_republic_of_congo,-4.2633597,15.2428853
Bangui,,Central African Republic,"Bangui, Central African Republic",bangui_central_african_republic,4.3946735,18.5581899
Bangassou,,Central African Republic,"Bangassou, Central African Republic",bangassou_central_african_republic,4.7378613,22.8165095
Fort Lamy,,Chad,"Fort Lamy, Chad",fort_lamy_chad,14.8222222,15.8330556
Ennfield,Connecticut,USA,"Ennfield, Connecticut, USA",ennfield_connecticut_usa,42.0027181,-72.5441445
Puerto Limón,,Costa Rica,"Puerto Limón, Costa Rica",puerto_limon_costa_rica,9.9913106,-83.0415078
Valencia,,Spain,"Valencia, Spain",valencia_spain,39.4699075,-0.3762881
Alexandria,,Egypt,"Alexandria, Egypt",alexandria_egypt,31.2000924,29.9187387
Juba,,Republic of South Sudan,"Juba, Republic of South Sudan",juba_republic_of_south_sudan,4.859363,31.57125
Khartoum,,Sudan,"Khartoum, Sudan",khartoum_sudan,15.5006544,32.5598994
Luxor,,Egypt,"Luxor, Egypt",luxor_egypt,25.6872431,32.6396357
Kitzbuhel,,Austria,"Kitzbuhel, Austria",kitzbuhel_austria,47.4492375,12.3925407
Jacmel,,Haiti,"Jacmel, Haiti",jacmel_haiti,18.2430063,-72.5263984
Cherbourg,,France,"Cherbourg, France",cherbourg_france,49.6337308,-1.622137
Prague,,Czech Republic,"Prague, Czech Republic",prague_czech_republic,50.0755381,14.4378005
Andé,,France,"Andé, France",ande_france,49.231559,1.24028
Corfu,,Greece,"Corfu, Greece",corfu_greece,39.6242621,19.9216777
Lézignan-Corbières,,France,"Lézignan-Corbières, France",lezignan_corbieres_france,43.200503,2.7577759
Point-à-Pitre,,Guadeloupe,"Point-à-Pitre, Guadeloupe",point_a_pitre_guadeloupe,16.2376869,-61.5340424
True Blue,,Grenada,"True Blue, Grenada",true_blue_grenada,12.0044598,-61.7721909
