Wifredo Lam,wlam,artist,Tao Leigh Goffe,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID,Personal Notes,Links to resources
"Paris, France",1977,,,,,,visits the Centre Pompidou,paris_france,,paris_france
"Alicante, Spain",1977,,,,,,,alicante_spain,,alicante_spain
"Madrid, Spain",1977,,,,,,,madrid_spain,,madrid_spain
"Barcelona, Spain",1977,,,,,,,barcelona_spain,,barcelona_spain
"Brussels, Belgium",1978,,,,,,,brussels_belgium,,brussels_belgium
"London, England",1978,,,,,,,london_england,,london_england
"Vienna, Austria",1978,,,,,,,vienna_austria,,vienna_austria
"Turin, Italy",1978,,,,,,,turin_italy,,turin_italy
"Albissola, Savona, Liguria, Italy",1978,,,,,,,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
"Milan, Italy",1978-08,,,,,,,milan_italy,,milan_italy
"Saint Gall, Switzerland",1978,,,,,,transfers here after suffering a stroke in Milan,saint_gall_switzerland,,saint_gall_switzerland
"Mexico City, Mexico",,,,,,,"despite being partially paralyzed, visits the coleccion Museo Nacional de Bellas Artes de la Habana, Cuba",mexico_city_mexico,,mexico_city_mexico
"Havana, Cuba",1980-04-28,,,,,,seeks treament at Franck Pais hospital. Learns of death of Alejo Carpentier. Lam attends burial in Cuba,havana_cuba,,havana_cuba
"Paris, France",1980-06,,,,,,spends summer with family,paris_france,,paris_france
Cuba,1980-11,,,,,,visits for the winter,cuba,,cuba
"Albissola, Savona, Liguria, Italy",1982,,,,,,spends summer,albissola_savona_liguria_italy,,albissola_savona_liguria_italy
"Paris, France",,,,,1982-09-11,,passes away,paris_france,,paris_france
