George Lamming,glamming,writer,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Place ID
"Tunapuna, Trinidad",,1989-05-31,Lamming Conversations 195,,,,"gives eulogy ""CLR James, Evangelist"" at CLR James' funeral",tunapuna_trinidad
Barbados,,1989,Schwarz 16,,,,,barbados
"Point-à-Pitre, Guadeloupe",,1989-12-11,George Lamming Collection,,1989-12-13,,may have attended the Colloque International at the Centre des Arts et de la Culture de Pointe-à-Pitre (he has paper with this letterhead),point_a_pitre_guadeloupe
Barbados,,1989,Schwarz 16,,1990,,,barbados
"Kingston, Jamaica",,1990-05-30,George Lamming Collection,,,,gives speech at the opening of the Edna Manley Retrospective at the National Gallery of Jamaica,kingston_jamaica
Barbados,,1990,Schwarz 16,,,,,barbados
"Ann Arbor, Michigan",1990-10-03,,George Lamming Collection,,1990-10-31,,becomes King/Chaves/Parks Visiting Professor at the Center for Afroamerican and African Studies at University of Michigan,ann_arbor_michigan
Barbados,,1990,Schwarz 16,,,,,barbados
Trinidad,,1992-08,Lamming Conversations II 48,,,,"gives lecture ""Coming, Coming, Coming Home"" at CARIFESTA V Symposia Series",trinidad
Barbados,,1992,Schwarz 16,,,,,barbados
"Miami, Florida, USA",,1993-07-21,George Lamming Collection,,,,"gives speech for ""An Evening to Honor George Lamming""",miami_florida_usa
Barbados,,,George Lamming Collection,,1993-12-03,,,barbados
"Fort-de-France, Martinique",1993-12-03,,George Lamming Collection,,1993-12-12,,,fort_de_france_martinique
Barbados,1993-12-12,,George Lamming Collection,,,,,barbados
"London, England",1994-12,,George Lamming Collection,,,,,london_england
Barbados,,1995-02-09,George Lamming Collection,,,,,barbados
Barbados,1995,,Schwarz 16,,,,,barbados
"Kingston, Jamaica",,1996-03,George Lamming Collection,,,,gives opening lecture at the Rex Nettleford Cultural Conference,kingston_jamaica
"Lewisburg, Pennsylvania, USA",1996-04-01,,George Lamming Collection,,1996-04-04,,gives lecture at Bucknell University,lewisburg_pennsylvania_usa
"Coral Gables, Florida, USA",1996,,George Lamming Collection,,,,,coral_gables_florida_usa
"Saint Croix, Virgin Islands",,1996-11,George Lamming Collection,,,,,saint_croix_virgin_islands
"New York, New York, USA",,1996-11,Schwarz 16,,1997-08-11,George Lamming Collection,,new_york_new_york_usa
"Port-of-Spain, Trinidad",1997-08-11,,George Lamming Collection,,1997-08-19,,,port_of_spain_trinidad
Barbados,1997-08-19,,George Lamming Collection,,,,,barbados
Barbados,,1998-01-01,George Lamming Collection,,1998-04-26,,,barbados
"Kingston, Jamaica",1998-04-26,,George Lamming Collection,,1998-05-08,,,kingston_jamaica
Barbados,1998-05-08,,George Lamming Collection,,1998-05-24,,,barbados
Trinidad,1998-05-24,,George Lamming Collection,,1998-05-31,,,trinidad
Barbados,1998-05-31,,George Lamming Collection,,1998-06-21,,,barbados
"London, England",1998-06-21,,George Lamming Collection,,1998-07-01,,,london_england
Barbados,1998-07-01,,George Lamming Collection,,1998-08-20,,,barbados
"New York, New York, USA",1998-08-23,,George Lamming Collection,,,,accepts Visiting Professorship at City College of the University of New York ,new_york_new_york_usa
"Binghamton, New York",1998-11-05,,George Lamming Collection,,1998-11-08,,attends and speaks at the Binghamton University conference on Walter Rodney. ,binghamton_new_york
"New York, New York, USA",1998-11-08,,George Lamming Collection,,1998-11-27,,,new_york_new_york_usa
"Washington, D.C., USA",1998-11-27,,George Lamming Collection,,1998-11-28,,,washington_dc._usa
"New York, New York, USA",1998-11-28,,George Lamming Collection,,1998-12-20,,,new_york_new_york_usa
"New York, New York, USA",1998,,George Lamming Collection,,2000,,accepts Visiting Professorship at City College of the University of New York ,new_york_new_york_usa
Trinidad,,,George Lamming Collection,,2000-01-06,,,trinidad
Barbados,2000-01-06,,George Lamming Collection,,2000-01-22,,,barbados
"New York, New York, USA",2000-01-23,,George Lamming Collection,,2000-01-30,,,new_york_new_york_usa
"Boston, Massachusetts, USA",2000-01-30,,George Lamming Collection,,2000-02-01,,,boston_massachusetts_usa
"New York, New York, USA",2000-02-01,,George Lamming Collection,,2000-06-05,,,new_york_new_york_usa
"Chicago, Illinois, USA",2000-06-05,,George Lamming Collection,,2000-06-09,,,chicago_illinois_usa
"New York, New York, USA",2000-06-09,,George Lamming Collection,,2000-06-12,,,new_york_new_york_usa
Barbados,2000-06-12,,George Lamming Collection,,2000-08-05,,is based in the Atlantis Hotel,barbados
"Kingston, Jamaica",2000-08-05,,George Lamming Collection,,2000-08-24,,,kingston_jamaica
Trinidad,2000-08-24,,George Lamming Collection,,2000-09-01,,,trinidad
Barbados,2000-09-01,,George Lamming Collection,2000-12-31,,,,barbados
Barbados,,2001,Schwarz 16,2002,,,,barbados
"Toronto, Canada",,2002,"Lamming ""Identity""",,,,gives 2002 Jagan lecture,toronto_canada
Barbados,,2002-04-10,George Lamming Collection,,,,,barbados
Barbados,2002-10-06,,George Lamming Collection,,,,,barbados
"Durham, North Carolina",2003-01-05,,George Lamming Collection,,2003-05,,accepts 2003 Semans Distinguished International Professorship,durham_north_carolina
Barbados,2003-05-08,,George Lamming Collection,,,,,barbados
"Kingston, Jamaica",2003-06-04,,Lamming Sovereignty 29,2003-06-07,,,"gives lecture ""Sovereignty of the Imagination"" at conference in his honour hosted by Center for Caribbean Thought at UWI-Mona",kingston_jamaica
Barbados,2003-06-12,,George Lamming Collection,,,,,barbados
Saint Maarten,2003-06-20,,George Lamming Collection,,,,,saint_maarten
Barbados,2003-06-22,,George Lamming Collection,,,,,barbados
Barbados,2003-10-06,,George Lamming Collection,,,,,barbados
"London, England",,2003-10-25,George Lamming Collection,,2003-11,,Materials in his uncatalogued collection (an email from Richard Drayton) give these dates for a visit that includes a lecture,london_england
"Saint Augustine, Trinidad",2004-01-06,,Lamming Sovereignty 81,,,,"Gives lecture ""Language and the Politics of Ethnicity"" at UWI-St. Augustine; passport stamp in George Lamming Collections",saint_augustine_trinidad
Antigua,2004-01-15,,George Lamming Collection,,,,,antigua
Jamaica,2004-01-17,,George Lamming Collection,,,,,jamaica
"Bridgetown, Barbados",,2004-05-17,George Lamming Collection,,,,gives a lecture at Frank Collymore Hall,bridgetown_barbados
USA,2004-08-23,,George Lamming Collection,,,,,usa
"Miami, Florida, USA",,2004-09-17,George Lamming Collection,,,,gives Eric Williams Memorial Lecture at Florida International University,miami_florida_usa
Barbados,,2004,Schwarz 16,,,,,barbados
"Providence, Rhode Island",2004-09,,George Lamming Collection,,,,accepts Visiting Professorship at Brown University,providence_rhode_island
"New Orleans, Louisiana",,2004-11-18,George Lamming Collection,,,,gives lecture at Dillard University,new_orleans_louisiana
"Providence, Rhode Island",,,George Lamming Collection,,2004-12,,,providence_rhode_island
Barbados,,,,,2005-01-12,George Lamming Collection,,barbados
Trinidad,2005-01-12,,George Lamming Collection,,2005-01-18,,,trinidad
Barbados,2005-01-18,,George Lamming Collection,,,,,barbados
Guyana,2005-06-02,,George Lamming Collection,,2005-06-14,,attends Groundings conference on Walter Rodney; gives lecture on June 13,guyana
"Providence, Rhode Island",2005-08-15,,George Lamming Collection,,2005-11-04,,,providence_rhode_island
"Amherst, Massachusetts, USA",2005-11-04,,George Lamming Collection,,2005-11-06,,participates in a colloquium in honor of Antonio Benítez-Rojo,amherst_massachusetts_usa
"Providence, Rhode Island",2005-11-06,,George Lamming Collection,,2005-11-22,,,providence_rhode_island
"Washington, D.C., USA",2005-11-22,,George Lamming Collection,,2005-11-25,,,washington_dc._usa
"New York, New York, USA",2005-11-25,,George Lamming Collection,,2005-11-28,,,new_york_new_york_usa
"Providence, Rhode Island",2005-11-28,,George Lamming Collection,,2005-12-23,,,providence_rhode_island
Barbados,2005,,Schwarz 16,,2006-08-01,George Lamming Collection,,barbados
"New York, New York, USA",2006-08-01,,George Lamming Collection,,2006-08-05,,,new_york_new_york_usa
"Providence, Rhode Island",2006-08-05,,George Lamming Collection,,2006-12-22,,,providence_rhode_island
"Paris, France",,2006-09-18,George Lamming Collection,2006-09-22,,,is invited to but seems not to have attended event on the 50th anniversary of the Congress of Black Writers,paris_france
Barbados,2006-12-22,,George Lamming Collection,,2007,Schwarz 16,,barbados
"Havana, Cuba",2007-06-04,,George Lamming Collection,,2007-06-14,,participates in seminar in his honor at Casa de las Americas,havana_cuba
Barbados,,,George Lamming Collection,,2007-08-10,,,barbados
"New York, New York, USA",2007-08-10,,George Lamming Collection,,2007-08-15,,,new_york_new_york_usa
"Providence, Rhode Island",2007-08-15,,George Lamming Collection,,2007-12-20,,,providence_rhode_island
Barbados,2007-12-20,,George Lamming Collection,,2008,Schwarz 16,,barbados
"New Haven, Connecticut, USA",2008-10-30,,George Lamming Collection,,2008-10-31,,,new_haven_connecticut_usa
"Providence, Rhode Island",2008-09,,George Lamming Collection,,2008-12,,,providence_rhode_island
Barbados,,2008,George Lamming Collection,,,,,barbados
"Montego Bay, Saint James, Jamaica",2009-05-21,,George Lamming Collection,,2009-05-24,,attends Calabash literary festival,montego_bay_saint_james_jamaica
Barbados,2009-05-24,,George Lamming Collection,,2009-06-01,George Lamming Collection,,barbados
"Kingston, Jamaica",2009-06-01,,George Lamming Collection,,2009-06-06,,accepts writers' residency for Caribbean Studies Association Conference,kingston_jamaica
Saint Maarten,2009-06-06,,George Lamming Collection,,,,,saint_maarten
Barbados,,2009,George Lamming Collection,,,,,barbados
Barbados,,2010-01-01,George Lamming Collection,,2010-06-02,,,barbados
Grenada,2010-06-02,,George Lamming Collection,,2010-06-09,,,grenada
Barbados,2010-06-09,,George Lamming Collection,,2010-08,,,barbados
"Providence, Rhode Island",2010-08,,George Lamming Collection,,2010-12-27,,,providence_rhode_island
Barbados,,2010,George Lamming Collection,,2011,,,barbados
"Miami, Florida, USA",,2011-03-04,Panelist Bios,,,,is a panelist at symposium in honor of Sanda Pouchet Paquet,miami_florida_usa
"Havana, Cuba",2011-05-05,,George Lamming Collection,,,,receives the Hibiscus Award from UNEAC,havana_cuba
Barbados,2011,,George Lamming Collection,,2018,,,barbados
