Katherine Dunham,kdunham,dancer,,,,,,,,,,,
Places,Arrival,Earliest Presence,Citation 1,Latest Presence,Departure,Citation 2,Notes,Links to resources,User Categories,Place ID,Legacy City,Legacy State,Legacy Country
"Indianapolis, Indiana, USA",1946-10,,Das 2014,,1946-10,Das 2014,On tour with Bal Negre in Indianapolis and other Midwestern cities,,,,Indianapolis,Indiana,US
"New York, New York, USA",1946-11-07,,"Clark and Johnson 2005, 292",,1946-12-1946,"Clark and Johnson 2005, 292",Performances of the Bal Nègre at the Belasco Theatre,,,,New York,New York,US
"New York, New York, USA",1947-02,,Das 2014,,1947-02,Das 2014,Nightclub performances at La Martinique,,,,New York,New York,US
"New York, New York, USA",1947-03,,Das 2014,,1947-03,Das 2014,Nightclub performances at the Roxy,,,,New York,New York,US
"Mexico City, Mexico",1947-04-16,,Das 2014,,1947-09,Das 2014,"Premieres Bal Negre in Mexico City on April 16 without sets or costumes; performs for next seven months at Teatro Iris, Teatro Bellas Artes, and Ciro's Nightclub",,,,Mexico City (Distrito Federal),,Mexico
"Las Vegas, Nevada, USA",1947-11-25,,Das 2014,,1947-11-25,Das 2014,Opening at El Rancho nightclub; one of the first major performing acts in Las Vegas,,,,Las Vegas,Nevada,US
"Los Angeles, California, USA",1947-12,,Das 2014,,1947-12,Das 2014,Performances at Ciro's Nighclub in HOllywood,,,,Los Angeles,California,US
"Seattle, Washington, USA",1948-01-25,,Das 2014,,1948-01-25,Das 2014,Performing the New Tropical Revue,,,,Seattle,Washington,US
"Chicago, Illinois, USA",1948-02,,Das 2014,,1948-02,Das 2014,Performing the New Tropical Revue,,,,Chicago,Illinois,US
"Michigan, USA",1948-03-27,,Das 2014,,1948-03-27,Das 2014,New Tropical Revue in Michigan,,,,,Michigan,US
"Pittsburgh, Pennsylvania, USA",1948-05-03,,Das 2014,,1948-05-03,Das 2014,New Tropical Revue at Nixon Theatre in Pittsburg,,,,Pittsburgh,Pennsylvania,US
"London, England",1948-06-03,,"Clark and Johnson 2005, 306",,1948-09,"Clark and Johnson 2005, 306",Performances at Prince of Wales Theatre,,,,London,,England
"English Provinces, England",1948-10,,Das 2014,,1948-10,Das 2014,Touring the English Provinces with Carribean Rhapsody,,,,,English Provinces,England
"Paris, France",1949-11-01,,Love Letters from I Tatti Vol 1,,1949-11-01,Love Letters from I Tatti Vol 1,"Writes to Berenson from Theatre de Paris, Rue Blanche, Paris",,,,Paris,,France
"Paris, France",1948-11-25,,Das 2014,,1948-12,Das 2014,Opens Rhapsodie Caraïbe at the Theatre de Paris,,,,Paris,,France
"Paris, France",1948-11-30,,Love Letters from I Tatti Vol 1,,1948-11-30,Love Letters from I Tatti Vol 1,Writes that she is preparing lectures for UNESCO & at Sorbonne,,,,Paris,,France
"Brussels, Belgium",1949-01-28,,Das 2014,,1948-01,Das 2014,Performances at Alhambra theater; queen invited,,,,Brussels,,Belgium
"Paris, France",1949-02-17,,Das 2014,,1949-03-06,Das 2014,Performances at Palais de Chaillot Theatre,,,,Paris,,France
"Rome, Italy",1949-03,,Das 2014,,1949-04,Das 2014,Performances of Caribbean Rhapsody; meets Bernard Berenson,,,,Rome  ,,Italy
"Stockholm, Sweden",1949-05,,Das 2014,,1949-06,Das 2014,"Performances of Caribbean Rhapsody; letter to Berenson from Stockholm dated 20 May, 1949 in Love Letters from I Tatti Vol 1",,,,Stockholm,,Sweden
"Stockholm, Sweden",1949-06-17,,Love Letters from I Tatti Vol 1,,1949-06-18,Love Letters from I Tatti Vol 1,"Letter to Berenson send from Cirkus Theatre, Stockholm",,,,Stockholm,,Sweden
"Joliet, Illinois, USA",1949-06-18,,Love Letters from I Tatti Vol 1,,1949-06-30,Love Letters from I Tatti Vol 1,Writes to Berenson that she needs to return to see family in Joliet,,,,Joliet,Illinois,US
"New York, New York, USA",1949-07-01,,Love Letters from I Tatti Vol 1,,1949-07-09,Love Letters from I Tatti Vol 1,Staying at 319 E. 72st St according to letter from Mary Hatton on July 1st,,,,New York,New York,US
"Port-au-Prince, Haiti",1949-07,,Das 2014,,1949-07,Das 2014,Brief visit to Haiti; decides to buy Habitation Leclerc; receives Legion de Honneur from President Estimé,,,,Port-au-Prince,,Haiti
"Amsterdam, Holland",1949-07-15,,Das 2014,,1949-07,Das 2014,"Caribbean Rhapsody in Amsterdam; sends letter to Berenson (in Love Letters from I Tatti Vol 1) from Stadschouwburg Theatre, Amsterdam",,,,Amsterdam,,Holland
"Paris, France",1949-10-19,,Das 2014,,1950-01,Das 2014,New Caribbean Rhapsody at Theatre de Paris and Palais de Chaillot,,,,Paris,,France
"Paris, France",1949-12-09,,Love Letters from I Tatti Vol 1,,1950-01-17,Love Letters from I Tatti Vol 1,"Writes four letters on 9, 15 and 26 December & 17 January 1950 c/o Felix Marouani 24 Rue Marbeuf",,,,Paris,,France
"Turin, Italy",1950-02-08,,Love Letters from I Tatti Vol 1; Das 2014,,1950-02-08,Love Letters from I Tatti Vol 1; Das 2014,"Lists tour dates in letter to Berenson; from Das note that this is tour of Caribbean Rhapsody in Italy; note that footage in LOC called ""Europe 1950"" is probably from this tour",,,,Turin,,Italy
"Naples, Italy",1950-02-11,,Love Letters from I Tatti Vol 1,,1950-02-12,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950,,,,Naples,,Italy
"Rome, Italy",1950-02-13,,Love Letters from I Tatti Vol 1,,1950-02-21,Love Letters from I Tatti Vol 1,Lists tour dates in letter to Berenson from Paris on 17 January 1950,,,,Rome  ,,Italy
